timestamp,sample,cement,strength,fineness,material_1,material_2,material_3,material_4,material_5,material_6,material_7,material_8,material_9,material_10,material_11,material_12,material_13,material_14,material_15
2022-01-03,220103i52,CEM I 52,60.53,14.09,14.95,3.07,0.74,4.38,25.82,0.35,0.78,1.98,12.92,14.07,2.49,14.38,1.94,1.14,0.86
2022-01-03,220103i42,CEM I 42,51.83,21.67,14.67,3.05,0.72,4.60,25.28,0.42,0.80,2.42,12.70,14.25,2.92,14.06,1.91,1.16,0.85
2022-01-03,220103iibll32,CEM II BLL 32,41.16,18.63,14.61,3.94,0.77,4.32,18.80,0.51,9.19,3.28,17.57,10.41,2.81,9.96,1.32,1.08,1.25
2022-01-03,220103iias52,CEM II AS 52,59.18,14.55,13.26,4.69,0.92,4.40,23.05,4.51,0.74,2.51,11.83,14.15,2.82,12.66,2.24,1.19,1.00
2022-01-03,220103iias42,CEM II AS 42,50.95,23.58,12.79,5.44,1.02,4.15,22.33,6.31,0.69,2.22,11.60,13.96,2.44,12.18,2.43,1.20,1.09
2022-01-05,220105i52,CEM I 52,61.51,13.75,15.06,3.08,0.74,4.37,25.69,0.35,0.78,1.98,13.09,13.95,2.49,14.23,1.95,1.14,0.86
2022-01-05,220105i42,CEM I 42,52.36,22.20,14.82,3.05,0.73,4.56,25.40,0.41,0.80,2.40,12.82,14.14,2.91,13.99,1.91,1.16,0.85
2022-01-05,220105iibll32,CEM II BLL 32,40.69,18.81,14.66,3.95,0.78,4.29,18.81,0.51,9.15,3.26,17.68,10.31,2.81,9.86,1.33,1.08,1.25
2022-01-05,220105iias42,CEM II AS 42,51.52,22.98,12.82,5.45,1.02,4.13,22.27,6.29,0.69,2.20,11.69,13.94,2.44,12.14,2.41,1.19,1.09
2022-01-05,220105iias52,CEM II AS 52,58.56,15.46,13.31,4.69,0.92,4.37,23.08,4.50,0.74,2.49,11.89,14.05,2.81,12.53,2.24,1.19,1.01
2022-01-07,220107i52,CEM I 52,60.14,14.37,14.94,3.07,0.74,4.40,25.75,0.35,0.78,1.98,12.95,14.02,2.49,14.29,1.94,1.14,0.86
2022-01-07,220107iibll32,CEM II BLL 32,40.31,18.99,14.60,3.96,0.79,4.31,18.76,0.51,9.21,3.27,17.62,10.37,2.82,9.96,1.33,1.08,1.25
2022-01-07,220107i42,CEM I 42,51.26,22.52,14.65,3.05,0.72,4.59,25.26,0.41,0.80,2.41,12.73,14.25,2.91,14.06,1.90,1.16,0.84
2022-01-07,220107iias42,CEM II AS 42,52.56,22.71,12.78,5.44,1.02,4.16,22.30,6.29,0.69,2.21,11.62,13.93,2.44,12.17,2.42,1.19,1.09
2022-01-07,220107iias52,CEM II AS 52,59.19,14.53,13.23,4.66,0.92,4.40,23.03,4.50,0.74,2.50,11.80,14.13,2.81,12.61,2.24,1.19,1.00
2022-01-10,220110iibll32,CEM II BLL 32,40.25,18.94,14.59,3.94,0.78,4.30,18.84,0.51,9.19,3.27,17.66,10.35,2.81,9.86,1.33,1.08,1.25
2022-01-10,220110iias42,CEM II AS 42,52.07,23.44,12.85,5.44,1.02,4.15,22.35,6.29,0.69,2.20,11.70,13.84,2.44,12.05,2.42,1.19,1.09
2022-01-10,220110i42,CEM I 42,53.29,21.96,14.90,3.05,0.73,4.57,25.24,0.42,0.81,2.40,12.85,14.15,2.91,13.99,1.90,1.15,0.85
2022-01-10,220110i52,CEM I 52,60.57,13.89,15.15,3.09,0.75,4.35,25.74,0.35,0.78,1.97,13.07,13.94,2.49,14.19,1.94,1.14,0.86
2022-01-10,220110iias52,CEM II AS 52,58.58,14.83,13.33,4.69,0.92,4.37,23.01,4.49,0.73,2.49,11.92,14.02,2.80,12.55,2.24,1.19,1.00
2022-01-12,220112i52,CEM I 52,61.66,13.47,14.98,3.09,0.74,4.37,25.70,0.35,0.78,1.97,12.97,14.03,2.50,14.29,1.94,1.14,0.86
2022-01-12,220112iibll32,CEM II BLL 32,40.66,19.15,14.60,3.95,0.77,4.30,18.81,0.51,9.18,3.27,17.59,10.37,2.80,9.92,1.33,1.08,1.25
2022-01-12,220112i42,CEM I 42,52.85,21.87,14.74,3.06,0.73,4.56,25.20,0.41,0.80,2.41,12.73,14.18,2.91,14.02,1.91,1.15,0.85
2022-01-12,220112iias52,CEM II AS 52,58.25,15.52,13.27,4.70,0.92,4.38,23.08,4.48,0.74,2.49,11.88,14.08,2.81,12.53,2.23,1.18,1.01
2022-01-12,220112iias42,CEM II AS 42,51.60,23.16,12.83,5.46,1.02,4.15,22.32,6.25,0.69,2.20,11.67,13.93,2.45,12.14,2.42,1.19,1.08
